"UPH_SG","UPH_NM","UPH_CD","area_m","SUBS","area_mine","percent_mine"
"DOCE 01","PIRANGA",501,17571415370.5303,"GNAISSE P/ BRITA",499854.508911133,0
"DOCE 01","PIRANGA",501,17571415370.5303,"GRAFITA",43999143.543335,0.003
"DOCE 01","PIRANGA",501,17571415370.5303,"GRANADA",4408844.9576416,0
"DOCE 01","PIRANGA",501,17571415370.5303,"GRANITO",833746992.412109,0.047
"DOCE 01","PIRANGA",501,17571415370.5303,"GRANITO P/ REVESTIMENTO",7742082.74975586,0
"DOCE 01","PIRANGA",501,17571415370.5303,"HEMATITA",2962710.33239746,0
"DOCE 01","PIRANGA",501,17571415370.5303,"MAGNETITA",1918550.81396484,0
"DOCE 01","PIRANGA",501,17571415370.5303,"MANGANÊS",20516665.8544922,0.001
"DOCE 01","PIRANGA",501,17571415370.5303,"MIGMATITO",1980022.01489258,0
"DOCE 01","PIRANGA",501,17571415370.5303,"MINÉRIO DE ALUMÍNIO",291504317.169434,0.017
"DOCE 01","PIRANGA",501,17571415370.5303,"MINÉRIO DE BERÍLIO",107962906.954712,0.006
"DOCE 01","PIRANGA",501,17571415370.5303,"MINÉRIO DE COBRE",195594.266845703,0
"DOCE 01","PIRANGA",501,17571415370.5303,"MINÉRIO DE ESTANHO",17225944.034668,0.001
"DOCE 01","PIRANGA",501,17571415370.5303,"MINÉRIO DE FERRO",2438807075.73267,0.139
"DOCE 01","PIRANGA",501,17571415370.5303,"MINÉRIO DE MANGANÊS",131017332.029053,0.007
"DOCE 01","PIRANGA",501,17571415370.5303,"MINÉRIO DE NIÓBIO",19471856.9937744,0.001
"DOCE 01","PIRANGA",501,17571415370.5303,"MINÉRIO DE NÍQUEL",400118922.444702,0.023
"DOCE 01","PIRANGA",501,17571415370.5303,"MINÉRIO DE OURO",1739624840.98206,0.099
"DOCE 01","PIRANGA",501,17571415370.5303,"MINÉRIO DE SILÍCIO",11888758.9796143,0.001
"DOCE 01","PIRANGA",501,17571415370.5303,"MINÉRIO DE TÂNTALO",400003.687866211,0
"DOCE 01","PIRANGA",501,17571415370.5303,"OURO",53514989.2634277,0.003
"DOCE 01","PIRANGA",501,17571415370.5303,"PIRITA",4251414.39367676,0
"DOCE 01","PIRANGA",501,17571415370.5303,"PLATINA",4498136.96484375,0
"DOCE 01","PIRANGA",501,17571415370.5303,"PRATA",10690471.3040771,0.001
"DOCE 01","PIRANGA",501,17571415370.5303,"QUARTZITO",46554016.9573975,0.003
"DOCE 01","PIRANGA",501,17571415370.5303,"QUARTZITO INDUSTRIAL",141550.026733398,0
"DOCE 01","PIRANGA",501,17571415370.5303,"QUARTZO",214114891.628662,0.012
"DOCE 01","PIRANGA",501,17571415370.5303,"SAIBRO",567831.112915039,0
"DOCE 01","PIRANGA",501,17571415370.5303,"SAPONITO",1000010.85864258,0
"DOCE 01","PIRANGA",501,17571415370.5303,"SERPENTINITO",9580644.03942871,0.001
"DOCE 01","PIRANGA",501,17571415370.5303,"TALCO",40902977.2105713,0.002
"DOCE 01","PIRANGA",501,17571415370.5303,"TOPÁZIO",20751190.75354,0.001
"DOCE 01","PIRANGA",501,17571415370.5303,"TOPÁZIO IMPERIAL",143224.721069336,0
"DOCE 01","PIRANGA",501,17571415370.5303,"TURMALINA",1316904.86181641,0
"DOCE 01","PIRANGA",501,17571415370.5303,"VERMICULITA",10144205.9665527,0.001
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"ÁGUA MARINHA",55001884.1837158,0.01
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"ÁGUA MINERAL",1709790.93457031,0
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"ALEXANDRITA",13938022.8295898,0.002
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"ALUMÍNIO",9584025.06762695,0.002
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"AMETISTA",7770388.52319336,0.001
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"AREIA",110244844.463013,0.019
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"AREIA DE FUNDIÇÃO",9046236.42895508,0.002
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"AREIA QUARTZOSA",715176.71081543,0
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"ARENITO",55362.6275634766,0
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"ARGILA",4225981.21337891,0.001
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"BAUXITA",63981104.0980225,0.011
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"BERÍLIO",5964779.72485352,0.001
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"BERILO",64260142.4462891,0.011
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"CALCÁRIO",139852.797119141,0
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"CASCALHO",5147473.97070312,0.001
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"CAULIM",136982182.407959,0.024
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"CITRINO",2417013.13085938,0
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"CROMITA",20251836.2110596,0.004
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"DADO NÃO CADASTRADO",100467967.875732,0.018
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"DIORITO",16300180.7624512,0.003
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"DOLOMITO",21726706.2106934,0.004
"DOCE 02","PIRACICABA (MG)",502,5681533503.89062,"DUNITO",490005.521240234,0
